,FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
317,1009447,Atascadero  Farmers Market,http://www.northcountyfarmersmarkets.com/,https://www.facebook.com/NorthCountyFarmersMarkets,,,,Albertson's parking lot on El Camino Real,Atascadero,,California,93422,,,,,,,,,-120.664,35.4858,,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2013
318,1003911,Atascadero Farmers Market,,,,,,Morro Road & El Camino Real,Paso Robles,San Luis Obispo,California,93447,,,,,,,,,-120.667,35.4882,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
319,1001294,Atascadero Main Street CFM,,,,,,Palma & Entrada,Atascadero,San Luis Obispo,California,93422,,,,,,,,,-120.669,35.4901,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
339,1010003,Atwater Village Farmers' Market,http://www.seela.org/atwater-village-farmers-market/,https://www.facebook.com/pages/Atwater-Village-Farmers-Market/336210064056,https://twitter.com/AtwaterFM,,www.instagram.com/atwatervillagefm,3250 Glendale Blvd,Los Angeles ,Los Angeles,California,90039,01/01/2014 to 12/31/2014,Sun: 10:00 AM-2:00 PM;,,,,,,,-118.25983000000001,34.118435,Private business parking lot,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,8/7/2014 4:26:22 PM
340,1000655,Auburn Dewitt Center Farmers Market,http://www.foothillfarmersmarket.com,,,,,"DeWitt Center, B Avenue at First Street",Auburn,Placer,California,95602,,,,,,,,,-121.098,38.9218,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
349,1001569,Auburn Marketplace Farmers Market,,,,,,Lincoln Way & Cherry Ave.,Auburn,Placer,California,95603,,,,,,,,,-121.068,38.9007,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
350,1000736,Auburn Old Town Farmers Market,http://www.foothillfarmersmarket.com,,,,,Auburn-Folsom Rd. & Lincoln Way,Auburn,Placer,California,95603,,,,,,,,,-121.07600000000001,38.8961,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Apr 26 2010  5:12PM
391,1000540,Bakersfield Health Dept CFM,,,,,,1800 Mt. Vernon Ave.,Bakersfield,KERN,California,,,,,,,,,,-118.96799999999999,35.383,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
392,1003134,Bakersfield Mt. Vernon Farmers Market,,,,,,Mt. Vernon & BC Football Field,Lindsay,Kern,California,93247,,,,,,,,,-119.088,36.203,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
393,1001448,Bakersfield Wall St. Alley Farmers Market,,,,,,30th & F Street,Bakerfield,Kern,California,93309,,,,,,,,,-119.023,35.3867,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1/26/2012 9:49:24 AM
398,1009163,Baldwin Lake Vegetable Market,http://www.baldwinlakenews.com/,,,,,45437 Lucky Baldwin Ranch Rd.,Big Bear City,,California,92314,,,,,,,,,-116.811,34.2891,,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2013
399,1003720,Baldwin Park Farmers Market,http://www.farmernet.com,,,,,Baldwin Park - Cesar Chavez & Ramond,Baldwin Park,Los Angeles,California,91706,,,,,,,,,-117.965,34.0856,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
412,1012134,banning market night,,facebook.com/banningmarketnight,,,,1170 W Ramsey Street,banning,Riverside,California,92220,05/10/2016 to 10/25/2016,Tue: 6:00 PM-9:00 PM;,,,,,,,-116.889524,33.924896999999994,,Y,N,N,N,N,-,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,6/30/2016 2:44:09 PM
432,1002936,Barstow Market Festival Farmers Market,,,,,,"East Main St.,From Barstow to 2nd",Barstow,San Bernardino,California,92312,,,,,,,,,-117.023,34.8988,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
467,1009448,Baywood Los Osos Farmers Market,http://www.northcountyfarmersmarkets.com/,https://www.facebook.com/NorthCountyFarmersMarkets,,,,2nd & Santa Maria Streets by the bay,Baywood,,California,93402,,,,,,,,,-120.84100000000001,35.3282,,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2013
468,1003912,Baywood/Los Osos Certified Farmers Market,http://www.northcountyfarmersmarkets.com,,,,,2nd Street & Santa Maria,Baywood ,San Luis Obispo,California,93412,,Mon: 2:00 PM-4:30 PM;,,,,,,,-120.840899,35.328154,Closed-off public street,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,6/27/2013 3:44:54 PM
505,1004824,Bella Vista CFM,,,,,,22509 Old Alturas Rd.,Bella Vista,Shasta,California,,,,,,,,,,-122.235,40.6378,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
520,1004973,Bellflower Farmers Market,http://www.farmernet.com,,,,,Oak & Clark Street,Bellflower,Los Angeles,California,90706,,,,,,,,,-118.134,33.8847,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
525,1011488,Belmont Certified Farmers' Market,http://pcfma.org,facebook.com/BelmontMarket,twitter.com/PacCoastFarmers,,instagram.com/pcfma,El Camino Real and O'Neill St.,Belmont,San Mateo,California,94002,01/01/2015 to 12/31/2015,Sun: 9:00 AM-1:00 PM;,,,,,,,-122.273595,37.518817999999996,,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,7/22/2015 2:13:03 PM
537,1001533,Benica Certified Farmers Market,http://www.beniciamainstreet.org,,,,,First Street between B & D Streets,Benicia,Solano,California,94510,04/24/2014 to 10/30/2014,Thu: 4:00 PM-8:00 PM;,,,,,,,-122.161188,38.046215000000004,,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,7/26/2018 4:09:20 PM
568,1011447,Berryessa Farmers' Market,http://www.pcfma.org,www.facebook.com/BerryessaFarmersMarket,www.twitter.com/PacCoastFarmers,,,1376 Piedmont Road,San Jose ,Santa Clara,California,95132,01/01/2015 to 12/31/2015,Sat: 9:00 AM-1:00 PM;,,,,,,,-121.84736799999999,37.40204,,Y,Y,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,7/20/2015 2:02:27 PM
588,1001460,Beverly Hills Farmers Market,http://www.beverlyhills.org/farmersmarket,https://www.facebook.com/BHFarmersMarket,,,,9300 Civic Center Drive,Beverly Hills,Los Angeles,California,90210,01/01/2013 to 12/31/2013,Sun: 9:00 AM-1:00 PM;,,,,,,,-118.39890700000001,34.074257,Closed-off public street,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,3/17/2014 10:52:28 AM
591,1005949,Big Bear Farmers Market,http://www.highdesertfarmersmarket.com,https://www.facebook.com/BigBearFarmersMarket,,,,42900 Big Bear Blvd,City of Big Bear Lake,San Bernardino,California,92315,04/01/2018 to 09/25/2018,Tue: 8:30 AM-1:00 PM;,,,,,,,-116.86671399999999,34.260803,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,N,N,8/8/2018 4:44:00 PM
611,1011854,Bishop Farmers' Market - Eastern Sierra Certified Farmers Market,,Bishop Farmers' Market,,,,200 Church Street,Bishop,Inyo,California,93514,06/25/2016 to 10/29/2016,Sat: 9:00 AM-12:00 PM;,,,,,,,-118.39743,37.362109000000004,,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,4/1/2016 2:09:05 PM
612,1003485,Bishop Market,,,,,,377 W Line St,Bishop,Inyo,California,,,,,,,,,,-118.398,37.3615,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
649,1002737,Blossom Hill Certified Farmers' Market,http://www.cafarmersmkts.com/markets/category/blossom,https://www.Facebook.com/SanJoseFarmersMarket,https://twitter.com/cafarmersmkts,,http://www.pinterest.com/cafarmersmkts/,Santa Teresa Blvd and Highway 85 & 87 Interchange,San Jose,Santa Clara,California,95136,01/01/2016 to 12/31/2016,Sun: 9:00 AM-1:00 PM;,,,,,,,-121.860023,37.256325,,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,7/20/2016 5:31:25 PM
691,1001907,Boonville CFM,,,,,,14040 Hwy 128- Boonville Hotel,Boonville,Mendocino,California,95415,May to October,Sat:9:30 am - 12:00 pm;,,,,,,,-123.368,39.0091,Private business parking lot,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,4/13/2011 6:19:54 PM
699,1000293,Borrego Springs Chamber of Commerce Farmers Market,,,,,,Christmas Circle and Palm Canyon Drive,Borrego Springs,San Diego,California,92004,,,,,,,,,-116.37799999999999,33.2566,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
761,1003139,Brea Farmers Market,,,,,,Brea Blvd. & Birch St.,Brea,Orange,California,92821,,,,,,,,,-118.236,34.0391,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
767,1011349,Brentwood Farmers' Market,http://www.pcfma.org,https://www.facebook.com/BrentwoodFarmersMarket,,,,First St. and Oak St.,Brentwood,Contra Costa,California,,03/07/2015 to 11/21/2015,Sat: 8:00 AM-12:00 PM;,,,,,,,-121.6948205,37.9326219,,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,N,7/14/2015 11:19:25 AM
796,1000541,Brimhall CFM,,,,,,9500 Brimhall Road,Bakersfield,KERN,California,,,,,,,,,,-119.10799999999999,35.3696,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
844,1006584,Brookside Farmers' Market,http://www.pcfma.com/market_home.php?market_id=75,,,,,3603 St. Andrews Dr.,Stockton,San Joaquin,California,95219,May to September,Thu:4:00 AM - 7:00 PM;,,,,,,,-121.35946399999999,37.978811,Private business parking lot,N,Y,N,Y,Y,-,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,6/13/2012 12:28:40 PM
861,1001326,Brownsville Farmers Market,http://www.brownsvillefarmersmarket.net,,,,,16822 Willow Glen Road,Brownsville,Yuba,California,95919,06/14/2014 to 09/06/2014,Sat: 9:00 AM-12:00 PM;,,,,,,,-121.283162,39.457104,Other,N,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,5/24/2014 6:51:46 PM
897,1000843,Burbank Certified Farmers' Market,http://www.burbankfarmersmarket.org,https://www.facebook.com/burbankfarmersmarket,@BurbFarmMkt,,burbankfarmersmarket,"150 N. Third Street Burbank, CA 91502",Burbank,Los Angeles,California,91502,,,01/01/2016 to 12/31/2016,Sat: 8:00 AM-12:30 PM;,,,,,-118.30797709999999,34.1828004,,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,12/19/2018 10:09:45 AM
905,1005322,Burlingame Fresh Market Farmers Market,http://www.burlingamechamber.org,,,,,Howard Ave. & Park,Burlingame,San Mateo,California,94010,,,,,,,,,-122.346,37.5773,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
920,1006194,Burney Certfied Farmers Market,http://www.shastagrowersassociation.com,,,,,37143 Main St,Burney,Shasta,California,96013,July to October,Wed:3:00 pm - 6:00 pm;,,,,,,,-121.664,40.8821,Private business parking lot,N,Y,N,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,5/2/2011 12:21:01 AM
921,1002006,Burney Wednesday Farmers Market,,,,,,VFW Hall - Main Street,Redding,Shasta,California,96099,,,,,,,,,-122.367,40.6783,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
948,1003449,Calabasas Old Town Farmers Market,,,,,,Calabasas & Mulholland Dr.,Calabasas,Los Angeles,California,91303,,,,,,,,,-118.63600000000001,34.1587,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/24/2013 2:28:09 PM
956,1010783,Calexico Farmers Market,http://calexicorecreation.org/events/calexico-farmers-market,https://www.facebook.com/clxfarmersmarket,,,,850 Encinas Avenue,Calexico,Imperial,California,92231,11/22/2014 to 04/18/2015,Sat: 10:00 AM-2:00 PM;,,,,,,,-115.487132,32.67585,,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,1/22/2015 10:42:18 PM
963,1007348,California Avenue Farmers' Market,http://www.urbanvillageonline.com,,,,,California Ave. and El Camino St.,Palo Alto,Santa Clara,California,94304,January to December,sun:9:00 AM - 1:00 PM;,,,,,,,-122.125309,37.4141716,Closed-off public street,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,5/1/2012 4:36:03 PM
965,1009017,Calistoga Farmers Market,http://www.calistogafarmersmarket.com,,,Calistoga Farmers Market,,1235 Washington Street ,Calistoga ,Napa,California,94515,05/01/2014 to 10/31/2014,Sat: 9:00 AM-1:00 PM;,11/01/2014 to 04/30/2015,Sat: 9:00 AM-1:00 PM;,,,,,-122.58023100000001,38.578829,Local government building grounds,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,5/16/2014 5:14:37 PM
976,1018257,Camarillo Hospice Certified Farmers Market,http://camarillofarmersmarket.com,,,,,2220 Ventura Blvd.,Camarillo ,Ventura,California,93010,01/01/2018 to 12/31/2018,Sat: 8:00 AM-12:00 PM;,,,,,,,-119.04131100000001,34.216538,,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,7/27/2018 12:09:19 AM
979,1004898,Cambria Farmers Market,,,,,,"Veterans Memorial Hall, Main & Cambria Streets",Cambria,San Luis Obispo,California,93428,,,,,,,,,-121.096,35.5644,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
980,1007349,Cambrian Park Farmers' Makret,http://www.urbanvillageonline.com,,,,,Camden Ave. & Union Ave.,San Jose,Santa Clara,California,95124,May to September,Wed:4:00 AM - 8:00 PM;,,,,,,,-121.9314131,37.261812,Private business parking lot,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,5/1/2012 4:55:01 PM
997,1003776,Cameron Park Wednesday Farmers' Market,http://www.eldoradofarmersmarket.com,,,,,Burke's Junction (Coach Lane),Cameron Park,El Dorado,California,95682,05/14/2014 to 10/08/2014,Wed: 8:00 AM-12:00 PM;,,,,,,,-120.97263999999998,38.657728000000006,Private business parking lot,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,3/21/2014 6:01:43 PM
1002,1007356,Campbell Farmers' Market,http://www.urbanvillageonline.com/,,,,,Campbell Avenue at Central Ave.,Campbell,Santa Clara,California,95008,January to December,sun:9:00 AM - 1:00 PM;,,,,,,,-121.944,37.2871,Closed-off public street,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,5/1/2012 5:09:35 PM
1018,1012038,Canoga Park Certified Farmers Market,http://coastalpacificinfo.us,https://www.facebook.com/canogafarmersmarket/,,,,7248 Owensmouth st,canoga park,Los Angeles,California,91303,01/01/2016 to 12/31/2016,Sat: 9:00 AM-1:30 PM;,,,,,,,-118.60161200000002,34.203746,,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,7/27/2018 3:05:40 PM
